,PRODUCER,ADDRESS,ZIP,Unnamed: 0,STATION,STATION_NAME,LATITUDE,LONGITUDE,2019-01,2019-02,2019-03,2019-04,2020-01,2020-02,2020-03,2020-04,2021-01,2021-02,2021-03,2021-04,2022-01,2022-02,2022-03,2022-04,2023-01,2023-02,2023-03,2023-04
40,Mohler Maple Products,"1627 Rt 19, Wyoming, NY, 14591, USA",14591,37,USC00309593,"WYOMING 3 W, NY US",,,16.129032258064516,25.0,22.58064516129032,30.0,29.03225806451613,24.13793103448276,41.935483870967744,50.0,19.35483870967742,10.714285714285714,32.25806451612903,13.333333333333334,9.67741935483871,25.0,35.483870967741936,40.0,22.58064516129032,46.42857142857143,41.935483870967744,33.33333333333333
41,Moon Valley Maple,"215 Johnson Road, Malone, NY, USA",12953,20,USC00304996,"MALONE, NY US",,,16.129032258064516,17.857142857142858,19.35483870967742,36.66666666666666,25.806451612903224,27.58620689655172,41.935483870967744,60.0,3.225806451612903,14.285714285714285,16.129032258064516,13.333333333333334,9.67741935483871,21.428571428571427,35.483870967741936,36.66666666666666,16.129032258064516,32.142857142857146,51.61290322580645,33.33333333333333
42,Noel Maple Farm,"11178 Jamison Rd, East Aurora, NY, USA",14052,32,USC00308910,"WALES, NY US",,,22.58064516129032,25.0,29.03225806451613,30.0,29.03225806451613,37.93103448275862,35.483870967741936,46.66666666666666,25.806451612903224,17.857142857142858,25.806451612903224,20.0,19.35483870967742,14.285714285714285,29.03225806451613,36.66666666666666,36.66666666666666,39.285714285714285,58.06451612903226,13.333333333333334
43,North Country Maple LLC,"211 Sturtevant Rd, Colton, NY, 13625, USA",13625,4,USC00301664,"COLTON 2 N, NY US",,,16.129032258064516,21.428571428571427,26.666666666666668,46.66666666666666,16.129032258064516,20.689655172413797,38.70967741935484,50.0,6.451612903225806,17.857142857142858,26.666666666666668,16.666666666666664,9.67741935483871,28.57142857142857,35.483870967741936,33.33333333333333,19.35483870967742,35.714285714285715,54.83870967741935,26.666666666666668
44,Off Road Maple,"195 Pomeroy Road, Franklin, NY, 13775, USA",13775,7,USC00302454,"EAST SIDNEY, NY US",42.33278,-75.22982,22.58064516129032,25.0,29.03225806451613,16.666666666666664,30.0,44.82758620689656,45.16129032258064,46.66666666666666,25.806451612903224,17.857142857142858,25.806451612903224,13.333333333333334,16.129032258064516,28.57142857142857,35.483870967741936,36.66666666666666,38.88888888888889,39.285714285714285,48.38709677419355,20.0
45,Packard Valley Farms,"438 Macedon Center Road, Macedon, NY, USA",14502,19,USC00304952,"MACEDON LOCK E30, NY US",43.0731,-77.30196,,,,,,,,,,,,,16.129032258064516,29.629629629629623,35.483870967741936,20.0,45.16129032258064,32.142857142857146,54.83870967741935,16.666666666666664
46,Rathbun’s Maple Sugar House,"1208 Hatch Hill Road, Whitehall, NY, USA",12887,35,USC00309389,"WHITEHALL, NY US",43.5575,-73.4011,25.0,11.76470588235294,52.63157894736842,26.08695652173913,32.25806451612903,34.48275862068966,45.16129032258064,30.0,26.666666666666668,22.22222222222222,19.35483870967742,10.344827586206897,4.761904761904762,18.51851851851852,41.935483870967744,14.814814814814811,45.83333333333333,36.0,72.0,14.285714285714285
47,Red Fox Maple,"416 Averyville Road, Lake Placid, NY, USA",12946,17,USC00304555,"LAKE PLACID 2 S, NY US",,,,,50.0,41.17647058823529,25.0,40.0,51.61290322580645,73.33333333333333,0.0,7.142857142857142,16.129032258064516,37.93103448275862,3.225806451612903,14.285714285714285,38.70967741935484,60.0,10.0,21.428571428571427,22.58064516129032,34.48275862068966
48,Ripple Road Maple Products,"655 Ripple Road, Norwich, NY, USA",13815,24,USC00306085,"NORWICH, NY US",42.5117,-75.5197,25.806451612903224,28.57142857142857,38.70967741935484,26.666666666666668,38.70967741935484,27.58620689655172,42.85714285714285,,9.67741935483871,14.285714285714285,22.58064516129032,20.0,16.129032258064516,25.0,38.70967741935484,34.48275862068966,41.935483870967744,53.57142857142857,58.06451612903226,28.57142857142857
49,SapnTap Maple Products,"141 Roscoe Jones Road, Cooperstown, NY, USA",13326,5,USC00301752,"COOPERSTOWN, NY US",,,19.35483870967742,10.714285714285714,19.35483870967742,23.33333333333333,16.129032258064516,10.344827586206897,29.03225806451613,37.93103448275862,9.67741935483871,32.142857142857146,19.35483870967742,20.0,9.67741935483871,25.0,35.483870967741936,40.0,22.58064516129032,42.85714285714285,58.06451612903226,13.333333333333334
50,Saratoga Maple,"69 Waterview Drive, Saratoga Springs, NY, USA",12866,26,USC00307484,"SARATOGA SPRINGS 4 SW, NY US",43.0413,-73.82126,32.25806451612903,40.74074074074074,51.85185185185185,16.666666666666664,48.38709677419355,39.285714285714285,35.714285714285715,20.0,18.51851851851852,25.0,22.58064516129032,10.0,9.67741935483871,33.33333333333333,38.70967741935484,8.0,46.42857142857143,42.85714285714285,61.29032258064516,3.333333333333333
51,Schiek’s Maple Products,"818 Ridge Road, Penn Yan, NY, USA",14527,42,USW00054778,"PENN YAN AIRPORT, NY US",42.64405,-77.05286,25.806451612903224,28.57142857142857,48.38709677419355,26.666666666666668,35.483870967741936,34.48275862068966,43.333333333333336,43.333333333333336,35.483870967741936,28.57142857142857,32.25806451612903,16.666666666666664,16.129032258064516,21.428571428571427,32.25806451612903,23.33333333333333,38.70967741935484,57.14285714285714,54.83870967741935,13.333333333333334
52,Schilling’s Maple Syrup,"3200 4 Rod Road, East Aurora, NY 14052, USA",14052,32,USC00308910,"WALES, NY US",,,22.58064516129032,25.0,29.03225806451613,30.0,29.03225806451613,37.93103448275862,35.483870967741936,46.66666666666666,25.806451612903224,17.857142857142858,25.806451612903224,20.0,19.35483870967742,14.285714285714285,29.03225806451613,36.66666666666666,36.66666666666666,39.285714285714285,58.06451612903226,13.333333333333334
53,Schmidt’s Scattered Maples,"150 Schmidt Road, Sherburne, NY, USA",13460,27,USC00307705,"SHERBURNE, NY US",,,22.58064516129032,25.0,32.25806451612903,33.33333333333333,32.25806451612903,31.03448275862069,48.38709677419355,50.0,16.129032258064516,17.857142857142858,22.58064516129032,6.666666666666667,12.903225806451612,25.0,35.483870967741936,37.93103448275862,41.935483870967744,42.85714285714285,54.83870967741935,20.0
54,Schmidt’s Scattered Maples,"150 Schmidt Road, Sherburne, NY, USA",13460,38,USR0000NSHR,"SHERBURNE NEW YORK, NY US",,,8.333333333333332,36.0,35.483870967741936,23.33333333333333,38.70967741935484,48.27586206896552,41.935483870967744,33.33333333333333,29.03225806451613,21.428571428571427,25.806451612903224,20.0,12.903225806451612,25.0,32.25806451612903,26.666666666666668,35.483870967741936,42.85714285714285,64.51612903225806,20.0
55,Schoff’s Sugar Shack,"1064 Willis Hill Road, Victor, NY 14564, USA",14564,31,USC00308839,"VICTOR 2 NW, NY US",,,,,,,,,,,,,,16.666666666666664,16.129032258064516,28.57142857142857,35.483870967741936,36.66666666666666,38.70967741935484,32.142857142857146,58.06451612903226,10.0
56,Silver Sap Maple,"8720 Mattis Road, Lowville, NY, 13367, USA",13367,18,USC00304912,"LOWVILLE, NY US",,,19.35483870967742,21.428571428571427,25.806451612903224,33.33333333333333,29.03225806451613,31.03448275862069,54.83870967741935,50.0,9.67741935483871,17.857142857142858,25.806451612903224,13.333333333333334,12.903225806451612,21.428571428571427,41.935483870967744,43.333333333333336,25.806451612903224,39.285714285714285,58.06451612903226,26.666666666666668
57,Silver Sap Maple,"8720 Mattis Road, Lowville, NY, 13367, USA",13367,29,USC00308248,"STILLWATER RESERVOIR, NY US",,,10.0,16.666666666666664,4.761904761904762,23.809523809523807,15.0,23.52941176470588,36.84210526315789,47.61904761904761,0.0,5.88235294117647,4.545454545454546,18.181818181818183,0.0,13.333333333333334,42.10526315789473,46.66666666666666,16.666666666666664,28.57142857142857,36.36363636363637,38.88888888888889
58,Split Ridge Maple,"138 Porter Road, Malone, NY, 12953, USA",12953,20,USC00304996,"MALONE, NY US",,,16.129032258064516,17.857142857142858,19.35483870967742,36.66666666666666,25.806451612903224,27.58620689655172,41.935483870967744,60.0,3.225806451612903,14.285714285714285,16.129032258064516,13.333333333333334,9.67741935483871,21.428571428571427,35.483870967741936,36.66666666666666,16.129032258064516,32.142857142857146,51.61290322580645,33.33333333333333
59,Steiner’s Running Wild/Burrdille Cider Mill,"18232 County Route 156, Watertown, NY, 13601, USA",13601,34,USC00309000,"WATERTOWN, NY US",,,19.35483870967742,25.0,29.03225806451613,30.0,29.03225806451613,27.58620689655172,48.38709677419355,53.333333333333336,6.451612903225806,17.857142857142858,29.03225806451613,16.666666666666664,12.903225806451612,21.428571428571427,35.483870967741936,33.33333333333333,25.806451612903224,35.714285714285715,54.83870967741935,23.33333333333333
60,Steve Fallon Maple,"835 County Route 58, Colton, NY, USA",13625,4,USC00301664,"COLTON 2 N, NY US",,,16.129032258064516,21.428571428571427,26.666666666666668,46.66666666666666,16.129032258064516,20.689655172413797,38.70967741935484,50.0,6.451612903225806,17.857142857142858,26.666666666666668,16.666666666666664,9.67741935483871,28.57142857142857,35.483870967741936,33.33333333333333,19.35483870967742,35.714285714285715,54.83870967741935,26.666666666666668
61,"StMaple, LLC","962 Limekiln Road, Malone, NY, 12953, USA",12953,20,USC00304996,"MALONE, NY US",,,16.129032258064516,17.857142857142858,19.35483870967742,36.66666666666666,25.806451612903224,27.58620689655172,41.935483870967744,60.0,3.225806451612903,14.285714285714285,16.129032258064516,13.333333333333334,9.67741935483871,21.428571428571427,35.483870967741936,36.66666666666666,16.129032258064516,32.142857142857146,51.61290322580645,33.33333333333333
62,Stony Acres Maple Farm,"2625 3 Rod Road, East Aurora, NY 14052, USA",14052,32,USC00308910,"WALES, NY US",,,22.58064516129032,25.0,29.03225806451613,30.0,29.03225806451613,37.93103448275862,35.483870967741936,46.66666666666666,25.806451612903224,17.857142857142858,25.806451612903224,20.0,19.35483870967742,14.285714285714285,29.03225806451613,36.66666666666666,36.66666666666666,39.285714285714285,58.06451612903226,13.333333333333334
63,Sugar Hollow Maple,"6866 Number Four Road, Lowville, NY, USA",13367,18,USC00304912,"LOWVILLE, NY US",,,19.35483870967742,21.428571428571427,25.806451612903224,33.33333333333333,29.03225806451613,31.03448275862069,54.83870967741935,50.0,9.67741935483871,17.857142857142858,25.806451612903224,13.333333333333334,12.903225806451612,21.428571428571427,41.935483870967744,43.333333333333336,25.806451612903224,39.285714285714285,58.06451612903226,26.666666666666668
64,Sugar Hollow Maple,"6866 Number Four Road, Lowville, NY, USA",13367,29,USC00308248,"STILLWATER RESERVOIR, NY US",,,10.0,16.666666666666664,4.761904761904762,23.809523809523807,15.0,23.52941176470588,36.84210526315789,47.61904761904761,0.0,5.88235294117647,4.545454545454546,18.181818181818183,0.0,13.333333333333334,42.10526315789473,46.66666666666666,16.666666666666664,28.57142857142857,36.36363636363637,38.88888888888889
